Taxpayer Number	Taxpayer Name	Taxpayer Address	Taxpayer City	Taxpayer State	Taxpayer Zip	Taxpayer County	Location Number	Location Name	Location Address	Location City	Location State	Location Zip	Location County	Inside/Outside City Limits	TABC Permit Number	Responsibility Begin Date	Responsibility End Date	Obligation End Date	Liquor Receipts	Wine Receipts	Beer Receipts	Cover Charge Receipts	Total Receipts
13201422360	HOUSTON KATZ'S, LP	1850 PARKWAY PL SE STE 1100	MARIETTA	GA	30067	0	1	KATZ'S DELI & BAR	616 WESTHEIMER RD	HOUSTON	TX	77006	101	Y	MB616130	12/16/2005		4/30/2019	16345	3489	5670	0	25504
17418188623	BENIHANA OF TEXAS, INC.	21500 BISCAYNE BLVD STE 900	MIAMI	FL	33180	0	3	BENIHANA OF TOKYO	1318 LOUISIANA ST	HOUSTON	TX	77002	101	Y	MB100939	12/1/1993		2/28/2019	20486	13389	10052	0	43927
32050567265	NIGHTINGALE ROOM BAR, L.L.C.	1416 WESTHEIMER RD	HOUSTON	TX	77006	101	1	NIGHTINGALE ROOM BAR, L.L.C	308 MAIN ST STE 100	HOUSTON	TX	77002	101	Y	MB887256	10/16/2014	3/24/2020	7/31/2019	20057	99	4602	0	24758
32057634951	ACMJKPR AMUSEMENT, LLC	9110 JONES RD STE 100	HOUSTON	TX	77065	101	1	JB'S PUB & GRILL	9110 JONES RD STE 100	HOUSTON	TX	77065	101	Y	MB970936	1/31/2017		2/28/2019	28474	220	13337	0	42031
32061378942	SUITE 100 EDWARDS, LLC	6134 WIGTON DR	HOUSTON	TX	77096	101	1	POITIN	2313 EDWARDS ST	HOUSTON	TX	77007	101	Y	MB1005432	1/25/2018	5/18/2020	4/30/2019	38946	22961	4795	0	66702
17519330587	CHILI'S BEVERAGE COMPANY, INC.	3000 OLYMPUS BLVD C/O TAX DEPARTMENT	COPPELL	TX	75019	57	126	CHILIS GRILL & BAR	6121 WESTHEIMER RD	HOUSTON	TX	77057	101	Y	MB468195	3/14/2000		4/30/2019	23203	2310	6089	0	31602
17419968528	UNIVERSITY FOOD SERVICES, INC.	2400 YORKMONT RD ATTN: BECKY ANDERSON/TA	CHARLOTTE	NC	28217	0	43	AMEX CENTURION CLUB	3870 N TERMINAL RD   TERMINAL D 3RD LEVEL	HOUSTON	TX	77032	101	Y	MB945009	5/24/2016		2/28/2019	11420	18229	3471	0	33120
32058380380	ALESH CORPORATION	6802 REGAL LAKES DR	KATY	TX	77493	101	1	CENTENARIO POOL & BAR	9890 SOUTHWEST FWY	HOUSTON	TX	77074	101	Y	MB939774	4/4/2016	2/8/2021	6/30/2019	2050	0	6810	0	8860
32061188622	FASTRAK EXPRESS 3, LLC.	403 GREENS RD	HOUSTON	TX	77060	101	4	FASTRAK MICHELADAS BOTANAS Y PISTO	403 GREENS RD	HOUSTON	TX	77060	101	Y	MB1051630	4/22/2019	6/30/2021	5/31/2019	4532	0	3897	0	8429
12029156614	ASHFORD TRS LESSEE II LLC	14185 DALLAS PKWY STE 1150	DALLAS	TX	75254	57	3	NASSAU BAY HILTON	3000 NASA RD 1	HOUSTON	TX	77058	101	Y	MB751137	6/25/2010		2/28/2019	13778	7875	10238	0	31891
32063084811	WLC GROUP LLC	3206 PATRICIA LN	PEARLAND	TX	77581	20	1	HIGH & DRY	306 MAIN ST STE 200	HOUSTON	TX	77002	101	Y	MB989611	7/27/2017	7/1/2023	3/31/2019	65250	2308	7484	0	75042
17519330587	CHILI'S BEVERAGE COMPANY, INC.	3000 OLYMPUS BLVD C/O TAX DEPARTMENT	COPPELL	TX	75019	57	367	CHILI'S GRILL & BAR #1548	12131 KATY FWY	HOUSTON	TX	77079	101	Y	MB869613	4/16/2014		4/30/2019	22254	1860	8905	0	33019
32055658705	WE RUN HOU, LLC	1703 SILVER ST	HOUSTON	TX	77007	101	1	ENGINE ROOM	1515 PEASE ST STE 101	HOUSTON	TX	77002	101	Y	MB901299	3/17/2015	3/16/2021	12/31/2019	0	0	0	0	0
18611104292	PO GRILL GALLERIA, LLC	1415 S POST OAK LN	HOUSTON	TX	77056	101	1	POST OAK GRILL	1415 S POST OAK LN	HOUSTON	TX	77056	101	Y	MB569477	12/17/2004		10/31/2019	9204	15885	1058	0	26147
30117413697	LOS CUCOS MEXICAN CAFE, INC.	876 LOOP 337 STE 501	NEW BRAUNFELS	TX	78130	46	2	LOS CUCOS MEXICAN CAFE	16216 CLAY RD	HOUSTON	TX	77084	101	Y	MB545061	10/2/2003		2/28/2019	50690	2008	12857	0	65555
